event_code,start_offset,end_offset,avid,json_path
401.1.5.0.54,48594,57194,beeb5a89-c3b5-45ef-bf56-2876292c9a65,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/beeb5a89-c3b5-45ef-bf56-2876292c9a65__58760241/summary.json
401.1.5.0.53,2272,14272,638b0bdd-eb50-4662-a826-8e0eb411f83e,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/638b0bdd-eb50-4662-a826-8e0eb411f83e__60846657/summary.json
401.1.5.0.54,6468,10668,b1fcfebc-8dde-45f8-ab4e-6214bfebb69a,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/b1fcfebc-8dde-45f8-ab4e-6214bfebb69a__59726486/summary.json
401.1.5.0.54,8804,17104,80e87cbd-9ce2-4a1f-bb62-cb770517b92e,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/80e87cbd-9ce2-4a1f-bb62-cb770517b92e__61550763/summary.json
401.1.5.0.53,10831,31831,0e5efae7-1c1e-461c-8e57-cb7e23fd7ba4,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/0e5efae7-1c1e-461c-8e57-cb7e23fd7ba4__61910057/summary.json
401.1.5.0.53,46759,58759,4fcb9355-d642-40cf-ac96-01b0f9778cba,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/4fcb9355-d642-40cf-ac96-01b0f9778cba__61858959/summary.json
401.1.5.0.53,5252,22052,590707ba-5b8c-44ce-9b23-643dc429ecd3,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/590707ba-5b8c-44ce-9b23-643dc429ecd3__59624181/summary.json
401.1.5.0.54,47693,51893,85046f17-660a-4b58-9964-adc1bfc88b1a,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/85046f17-660a-4b58-9964-adc1bfc88b1a__57290359/summary.json
401.1.5.0.53,9918,47418,4b843766-0c47-4e8e-8c90-a6498a9a8e8c,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/4b843766-0c47-4e8e-8c90-a6498a9a8e8c__57293329/summary.json
401.1.5.0.53,4360,22160,9c21a88c-a0eb-4064-8863-a26c5f13e109,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/9c21a88c-a0eb-4064-8863-a26c5f13e109__59605160/summary.json
401.1.5.0.53,8723,26523,6257b795-6219-4b72-9b93-31431945a923,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/6257b795-6219-4b72-9b93-31431945a923__58572968/summary.json
401.1.5.0.53,21420,34920,ef10d1c4-c8d8-4f73-9340-b12923c4d756,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/ef10d1c4-c8d8-4f73-9340-b12923c4d756__59605793/summary.json
401.1.5.0.51,29199,37199,5749c76a-ea5a-49c0-a6be-1aed336e3125,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/5749c76a-ea5a-49c0-a6be-1aed336e3125__59101960/summary.json
401.1.5.0.53,38561,50561,2107b25e-6df3-4e9f-9b61-e5d9ecb3a44b,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/2107b25e-6df3-4e9f-9b61-e5d9ecb3a44b__61286804/summary.json
401.1.5.0.53,13668,25668,056bdb43-de51-482d-a817-a15a210aa209,/home/ubuntu/1inwdata/prithvi/kpi_reprocess_data/mouth_kpts_eec_and_combo/056bdb43-de51-482d-a817-a15a210aa209__57398148/summary.json
